course,prof,gpa,% of A,% of B,section_,semester
GENE 302,ZHANG X,2.680,24%,36%,501,2020 Fall
GENE 302,PANIN V,3.122,46%,28%,502,2020 Fall
GENE 310,MAGILL C,2.655,10%,45%,500,2020 Fall
GENE 310,MAGILL C,2.478,13%,35%,700,2020 Fall
GENE 312,PISHKO E,2.966,33%,39%,501,2020 Fall
GENE 312,PISHKO E,3.052,32%,42%,502,2020 Fall
GENE 312,PISHKO E,2.700,10%,50%,503,2020 Fall
GENE 312,PISHKO E,2.857,11%,64%,504,2020 Fall
GENE 312,PISHKO E,3.173,35%,48%,505,2020 Fall
GENE 312,PISHKO E,3.115,42%,31%,506,2020 Fall
GENE 312,PISHKO E,3.000,33%,44%,507,2020 Fall
GENE 312,PISHKO E,3.153,35%,46%,508,2020 Fall
GENE 312,PISHKO E,3.090,36%,45%,509,2020 Fall
GENE 312,PISHKO E,3.363,55%,27%,510,2020 Fall
GENE 320,MURPHY W,3.166,33%,50%,501,2020 Fall
GENE 320,VENKATRAJ V,4.000,100%,0%,502,2020 Fall
GENE 320,BERGTHORSSON U,3.333,50%,33%,503,2020 Fall
GENE 405,DERR J,3.617,68%,29%,500,2020 Fall
GENE 406,MITCHELL A,3.125,38%,38%,500,2020 Fall
GENE 412,JOHNSTON J,3.909,93%,5%,500,2020 Fall
GENE 419,SZE S,3.379,55%,38%,500,2020 Fall
GENE 421,VENKATRAJ V,4.000,100%,0%,500,2020 Fall
GENE 431,CRUZ-REYES J,3.800,85%,10%,502,2020 Fall
GENE 432,PEREZ S,3.166,17%,83%,900,2020 Fall
GENE 491,DEVARENNE T,4.000,100%,0%,500,2020 Fall
GENE 603,MAGILL C,3.321,39%,54%,600,2020 Fall
GENE 608,AMREIN H,4.000,100%,0%,600,2020 Fall
GENE 612,CRISCIONE C,3.666,67%,33%,600,2020 Fall
GENE 656,THREADGILL D,4.000,100%,0%,601,2020 Fall
GENE 682,THREADGILL D,4.000,100%,0%,600,2020 Fall
GENE 685,BONDOS S,4.000,100%,0%,602,2020 Fall
GENE 689,THREADGILL D,4.000,100%,0%,601,2020 Fall
GENE 697,PISHKO E,4.000,100%,0%,601,2020 Fall
GENE 697,PISHKO E,4.000,100%,0%,602,2020 Fall
AGSM 125,KINGMAN D,3.900,95%,0%,500,2020 Fall
AGSM 201,KINGMAN D,3.625,69%,25%,501,2020 Fall
AGSM 201,KINGMAN D,3.466,60%,27%,502,2020 Fall
AGSM 201,KINGMAN D,3.500,71%,21%,503,2020 Fall
AGSM 201,KINGMAN D,2.888,33%,44%,504,2020 Fall
AGSM 301,MCGEE R,2.880,32%,40%,500,2020 Fall
AGSM 301,MCGEE R,1.600,0%,20%,598,2020 Fall
AGSM 315,MOORE J,3.400,40%,60%,501,2020 Fall
AGSM 315,MOORE J,3.000,8%,85%,502,2020 Fall
AGSM 335,KINGMAN D,3.478,65%,26%,500,2020 Fall
AGSM 335,KINGMAN D,3.625,79%,12%,501,2020 Fall
AGSM 337,HUANG Y,2.531,25%,31%,500,2020 Fall
AGSM 403,STARK G,3.080,20%,68%,501,2020 Fall
AGSM 403,STARK G,2.636,0%,64%,502,2020 Fall
AGSM 439,RISKOWSKI G,3.538,74%,13%,900,2020 Fall
AGSM 470,STARK G,2.956,30%,35%,501,2020 Fall
AGSM 470,STARK G,2.900,20%,50%,502,2020 Fall
