course,prof,gpa,% of A,% of B,section_,semester
COSC 475,BOLDT G,2.812,12%,69%,504,2018 Fall
COSC 477,FICKEL L,2.566,13%,47%,501,2018 Fall
COSC 477,FICKEL L,2.738,14%,45%,502,2018 Fall
COSC 494,GUERRA SANTOS H,3.707,75%,21%,950,2018 Fall
COSC 601,LEWIS P,3.875,88%,12%,600,2018 Fall
COSC 602,AHN C,3.846,85%,15%,600,2018 Fall
COSC 603,RYOO B,3.600,67%,27%,600,2018 Fall
COSC 620,DU J,4.000,100%,0%,600,2018 Fall
COSC 628,RODGERS W,3.600,60%,40%,600,2018 Fall
LAND 101,LEE C,3.655,75%,18%,500,2018 Fall
LAND 101,NDUBISI F,3.296,63%,19%,700,2018 Fall
LAND 111,HUANG C,2.833,28%,39%,501,2018 Fall
LAND 111,REID R,2.823,18%,59%,502,2018 Fall
LAND 211,HURST K,3.384,46%,46%,501,2018 Fall
LAND 211,TEAL M,3.333,50%,33%,502,2018 Fall
LAND 231,SOHN W,2.538,0%,69%,501,2018 Fall
LAND 231,HURST K,3.076,23%,62%,502,2018 Fall
LAND 240,LEE R,3.587,66%,27%,500,2018 Fall
LAND 240,NEWMAN G,3.576,75%,15%,700,2018 Fall
LAND 301,BARDENHAGEN E,3.656,69%,28%,900,2018 Fall
LAND 311,LI D,3.500,50%,50%,501,2018 Fall
LAND 311,RISING H,3.733,73%,27%,502,2018 Fall
LAND 494,HURST K,4.000,100%,0%,550,2018 Fall
LAND 601,BARDENHAGEN E,3.818,82%,18%,600,2018 Fall
LAND 612,WINSLOW W,2.636,9%,64%,600,2018 Fall
LAND 620,HUANG C,3.769,77%,23%,600,2018 Fall
LAND 645,BROWN R,4.000,100%,0%,600,2018 Fall
LAND 655,REID R,3.636,64%,36%,600,2018 Fall
LDEV 663,ANDERSON S,3.548,55%,45%,600,2018 Fall
LDEV 664,PETERSON J,3.369,43%,51%,601,2018 Fall
LDEV 667,BOOTH G,3.950,95%,5%,601,2018 Fall
LDEV 669,ANDERSON S,3.722,72%,28%,600,2018 Fall
LDEV 685,ANDERSON S,4.000,100%,0%,601,2018 Fall
LDEV 687,NOH Y,3.647,65%,35%,600,2018 Fall
LDEV 688,FEIGENBAUM L,4.000,100%,0%,600,2018 Fall
LDEV 689,ANDERSON S,3.684,68%,32%,600,2018 Fall
PLAN 604,ROSENHEIM N,3.736,74%,26%,600,2018 Fall
PLAN 610,WEI L,4.000,100%,0%,600,2018 Fall
PLAN 612,WEI L,3.666,67%,33%,600,2018 Fall
PLAN 625,WUNNEBURGER D,3.904,90%,10%,600,2018 Fall
PLAN 625,WUNNEBURGER D,3.608,74%,22%,700,2018 Fall
PLAN 641,LEE Y,3.555,56%,44%,600,2018 Fall
PLAN 647,MEYER M,3.857,86%,14%,600,2018 Fall
PLAN 662,GODDARD T,3.470,53%,41%,600,2018 Fall
PLAN 664,ROBERTS A,4.000,100%,0%,600,2018 Fall
PLAN 665,BERKE P,3.611,67%,28%,600,2018 Fall
PLAN 670,TURNBULL K,3.285,29%,71%,600,2018 Fall
PLAN 674,WEI L,4.000,100%,0%,600,2018 Fall
PLAN 689,ROBERTS A,4.000,100%,0%,601,2018 Fall
URPN 201,NOH Y,3.508,61%,33%,500,2018 Fall
URPN 201,TEDFORD E,3.633,70%,23%,501,2018 Fall
URPN 201,SEMIEN J,3.931,93%,7%,502,2018 Fall
URPN 201,COWELL R,3.538,73%,17%,700,2018 Fall
URPN 202,CAMPAGNOL G,3.546,62%,30%,500,2018 Fall
URPN 202,SEONG K,3.433,60%,30%,501,2018 Fall
URPN 202,CAMPAGNOL G,3.387,57%,31%,700,2018 Fall
URPN 202,CAMPAGNOL G,3.130,41%,39%,701,2018 Fall
URPN 202,BLANKS J,3.720,72%,28%,901,2018 Fall
URPN 210,PEACOCK W,3.052,47%,32%,500,2018 Fall
URPN 220,WANG H,3.684,74%,21%,500,2018 Fall
URPN 220,CHENG W,3.500,79%,4%,501,2018 Fall
URPN 220,REN D,3.300,60%,10%,502,2018 Fall
URPN 220,NOH Y,3.000,50%,25%,700,2018 Fall
URPN 310,MEYER M,3.260,39%,52%,500,2018 Fall
URPN 325,WUNNEBURGER D,2.857,43%,29%,500,2018 Fall
URPN 325,KIM Y,3.750,83%,8%,501,2018 Fall
URPN 325,WUNNEBURGER D,2.294,24%,24%,700,2018 Fall
URPN 330,BOOTH G,3.896,93%,3%,900,2018 Fall
