course,prof,gpa,% of A,% of B,section_,semester
ENGR 112,KITCHER E,2.925,29%,38%,508,2017 Spring
ENGR 112,KURWITZ R,3.083,38%,35%,509,2017 Spring
ENGR 112,IJAZ M,2.966,31%,42%,510,2017 Spring
ENGR 112,HUFF J,3.049,25%,58%,511,2017 Spring
ENGR 112,OPELLA S,2.739,9%,61%,513,2017 Spring
ENGR 112,FULLERTON T,3.126,24%,65%,514,2017 Spring
ENGR 112,MENDOZA DIAZ N,3.105,33%,46%,516,2017 Spring
ENGR 112,GODWIN A,3.243,31%,63%,518,2017 Spring
ENGR 112,OZMETIN A,2.988,30%,44%,519,2017 Spring
ENGR 112,OSTROVSKAYA N,2.769,23%,45%,521,2017 Spring
ENGR 112,OZMETIN A,3.246,34%,57%,522,2017 Spring
ENGR 112,OSTROVSKAYA N,3.153,35%,47%,523,2017 Spring
ENGR 112,SPEARS C,3.066,33%,45%,524,2017 Spring
ENGR 112,OSTROVSKAYA N,3.153,36%,47%,525,2017 Spring
ENGR 112,SPEARS C,3.092,37%,38%,526,2017 Spring
ENGR 112,MENDOZA DIAZ N,3.158,39%,38%,527,2017 Spring
ENGR 112,MONROE M,3.000,22%,60%,528,2017 Spring
ENGR 112,SPEARS C,3.074,37%,33%,529,2017 Spring
ENGR 112,LARA RUIZ J,3.241,31%,62%,530,2017 Spring
ENGR 112,GODWIN A,2.805,22%,43%,531,2017 Spring
ENGR 112,LARA RUIZ J,3.303,37%,57%,532,2017 Spring
ENGR 112,VILLAREAL S,2.896,22%,45%,533,2017 Spring
ENGR 112,IJAZ M,3.129,29%,56%,535,2017 Spring
ENGR 112,FULLERTON T,3.150,30%,56%,536,2017 Spring
ENGR 112,MENDOZA DIAZ N,3.194,36%,47%,537,2017 Spring
ENGR 112,POWELL M,3.086,36%,42%,538,2017 Spring
ENGR 112,KOOLA P,2.892,29%,46%,539,2017 Spring
ENGR 112,KOOLA P,2.753,22%,43%,540,2017 Spring
ENGR 112,SUBRAMANIAN R,2.892,25%,43%,541,2017 Spring
ENGR 112,SHAW S,2.833,33%,42%,542,2017 Spring
ENGR 112,SUBRAMANIAN R,2.578,21%,42%,543,2017 Spring
ENGR 112,RICHARD J,2.701,23%,35%,550,2017 Spring
ENGR 112,WICKLIFF T,3.157,37%,50%,551,2017 Spring
ENGR 112,HORBACZEWSKI I,2.833,17%,50%,552,2017 Spring
ENGR 112,WICKLIFF T,3.666,67%,33%,553,2017 Spring
ENGR 285,WEICHOLD M,4.000,100%,0%,500,2017 Spring
ENGR 289,SULLIVAN S,3.931,97%,0%,500,2017 Spring
ENGR 289,SULLIVAN S,4.000,100%,0%,501,2017 Spring
ENGR 289,LAGOUDAS M,3.600,60%,40%,502,2017 Spring
ENGR 289,GRAVES G,3.051,35%,39%,503,2017 Spring
ENGR 333,FAGHIHI V,3.516,61%,35%,500,2017 Spring
ENGR 333,FAGHIHI V,3.500,53%,44%,501,2017 Spring
ENGR 385,GRUNLAN M,4.000,100%,0%,503,2017 Spring
ENGR 385,ELABD Y,4.000,100%,0%,504,2017 Spring
ENGR 385,SARIN V,3.428,86%,0%,506,2017 Spring
ENGR 385,KARSILAYAN A,4.000,100%,0%,507,2017 Spring
ENGR 385,GAUTAM N,3.769,85%,8%,512,2017 Spring
ENGR 385,CATON J,3.969,97%,3%,513,2017 Spring
ENGR 430,KONDAPI P,4.000,100%,0%,501,2017 Spring
ENGR 482,STRZELEC A,3.842,84%,16%,550,2017 Spring
ENGR 482,JAMES R,3.454,45%,55%,902,2017 Spring
ENGR 482,JAMES R,2.916,17%,58%,903,2017 Spring
ENGR 482,JAMES R,3.250,42%,42%,904,2017 Spring
ENGR 482,POSTON J,3.083,33%,42%,905,2017 Spring
ENGR 482,POSTON J,3.090,18%,73%,906,2017 Spring
ENGR 482,POSTON J,3.181,18%,82%,907,2017 Spring
ENGR 482,POSTON J,2.818,18%,45%,908,2017 Spring
ENGR 482,ATIF M,3.166,25%,67%,909,2017 Spring
ENGR 482,ATIF M,3.500,67%,17%,910,2017 Spring
ENGR 482,ATIF M,3.500,50%,50%,911,2017 Spring
ENGR 482,ATIF M,3.000,33%,50%,912,2017 Spring
ENGR 482,ATIF M,3.166,25%,67%,913,2017 Spring
ENGR 482,ATIF M,3.333,33%,67%,914,2017 Spring
ENGR 482,ATIF M,3.166,25%,67%,915,2017 Spring
ENGR 482,ATIF M,3.100,30%,50%,916,2017 Spring
ENGR 482,BANERJEE D,3.166,33%,50%,917,2017 Spring
ENGR 482,BANERJEE D,3.333,33%,67%,918,2017 Spring
ENGR 482,BANERJEE D,3.083,25%,58%,919,2017 Spring
ENGR 482,BANERJEE D,2.818,27%,45%,920,2017 Spring
ENGR 482,KEE E,3.500,50%,50%,921,2017 Spring
ENGR 482,KEE E,3.250,33%,58%,922,2017 Spring
ENGR 482,KEE E,2.727,18%,55%,923,2017 Spring
ENGR 482,KEE E,3.000,36%,27%,924,2017 Spring
ENGR 482,JAMES R,3.000,20%,60%,925,2017 Spring
ENGR 482,JAMES R,3.416,42%,58%,926,2017 Spring
ENGR 482,JAMES R,3.166,25%,67%,927,2017 Spring
ENGR 482,JAMES R,3.181,27%,64%,928,2017 Spring
ENGR 482,KEE E,3.363,45%,45%,929,2017 Spring
ENGR 482,KEE E,3.000,17%,67%,930,2017 Spring
ENGR 482,KEE E,2.916,25%,42%,931,2017 Spring
ENGR 482,KEE E,2.909,9%,73%,932,2017 Spring
ENGR 482,POSTON J,2.583,8%,58%,933,2017 Spring
ENGR 482,POSTON J,2.363,9%,45%,934,2017 Spring
ENGR 482,POSTON J,1.833,0%,33%,935,2017 Spring
ENGR 482,LUNNEY J,3.076,31%,62%,950,2017 Spring
ENGR 482,WICKLIFF T,3.166,33%,50%,951,2017 Spring
ENGR 489,DONNELL J,3.891,91%,7%,504,2017 Spring
ENGR 491,GAHARWAR A,4.000,100%,0%,501,2017 Spring
ENGR 491,HUFF G,4.000,100%,0%,502,2017 Spring
ENGR 491,HWANG W,4.000,100%,0%,503,2017 Spring
ENGR 491,HOLTZAPPLE M,3.921,92%,4%,504,2017 Spring
ENGR 491,HAMMOND T,4.000,100%,0%,507,2017 Spring
ENGR 491,CHU K,4.000,100%,0%,510,2017 Spring
ENGR 491,KAUNAS R,4.000,100%,0%,511,2017 Spring
ENGR 491,NARAGHI M,4.000,100%,0%,513,2017 Spring
ENGR 491,CHENG Z,4.000,100%,0%,515,2017 Spring
ENGR 491,YU C,4.000,100%,0%,516,2017 Spring
ENGR 491,LANGARI G,4.000,100%,0%,517,2017 Spring
ENGR 491,ALGE D,4.000,100%,0%,518,2017 Spring
ENGR 491,TAI L,3.875,80%,20%,519,2017 Spring
ENGR 491,RASMUSSEN B,3.944,92%,8%,520,2017 Spring
ENGR 491,CHAMITOFF G,3.964,96%,4%,523,2017 Spring
ENGR 689,INGRAM J,3.428,43%,57%,701,2017 Spring
ENGR 689,SHUKLA K,4.000,100%,0%,702,2017 Spring
ICPE 603,HOLTZAPPLE M,3.333,57%,24%,601,2017 Spring
ICPE 606,BUTENKO S,3.809,86%,10%,601,2017 Spring
ICPE 611,MCCARL B,3.571,57%,43%,601,2017 Spring
ICPE 612,LESTER R,3.428,48%,48%,601,2017 Spring
ICPE 613,EL-HALWAGI M,3.857,86%,14%,601,2017 Spring
ICPE 614,GIBSON R,3.571,57%,43%,601,2017 Spring
ICPE 618,HASAN M,3.523,57%,38%,601,2017 Spring
ICPE 620,VADDIRAJU S,3.666,83%,0%,601,2017 Spring
ICPE 622,CLARIDGE D,3.500,67%,17%,601,2017 Spring
ICPE 626,MANNAN M,3.312,38%,56%,601,2017 Spring
ICPE 691,PISTIKOPOULOS E,4.000,100%,0%,601,2017 Spring
CSCE 110,DUTTA A,2.842,29%,39%,501,2017 Spring
CSCE 110,DUTTA A,2.906,44%,23%,502,2017 Spring
CSCE 110,DUTTA A,2.900,35%,40%,503,2017 Spring
CSCE 110,DUTTA A,2.666,36%,21%,504,2017 Spring
CSCE 111,ANDERSEN F,2.500,14%,50%,501,2017 Spring
CSCE 111,ANDERSEN F,2.400,13%,47%,502,2017 Spring
CSCE 111,GOOCH B,3.511,81%,5%,503,2017 Spring
CSCE 111,GOOCH B,3.673,83%,11%,504,2017 Spring
CSCE 121,NOWAK M,2.826,39%,26%,501,2017 Spring
CSCE 121,NOWAK M,2.500,20%,40%,502,2017 Spring
CSCE 121,NOWAK M,2.352,35%,12%,503,2017 Spring
CSCE 121,NOWAK M,2.473,26%,26%,504,2017 Spring
