course,prof,gpa,% of A,% of B,section_,semester
HLTH 210,FEHR S,3.105,36%,42%,503,2019 Fall
HLTH 210,FEHR S,3.408,51%,39%,504,2019 Fall
HLTH 214,MCNEILL E,3.150,40%,40%,599,2019 Fall
HLTH 216,KNIFFIN D,3.647,65%,35%,501,2019 Fall
HLTH 216,VENABLE L,3.722,72%,28%,502,2019 Fall
HLTH 216,VENABLE L,3.833,83%,17%,503,2019 Fall
HLTH 216,VENABLE L,3.611,78%,17%,504,2019 Fall
HLTH 216,KNIFFIN D,3.444,61%,22%,505,2019 Fall
HLTH 216,KNIFFIN D,3.555,56%,44%,506,2019 Fall
HLTH 216,KNIFFIN D,3.277,50%,39%,507,2019 Fall
HLTH 216,KNIFFIN D,3.750,75%,25%,508,2019 Fall
HLTH 221,GILREATH T,3.964,96%,4%,501,2019 Fall
HLTH 222,RAHN R,3.947,95%,5%,500,2019 Fall
HLTH 231,HANIK B,3.329,47%,44%,503,2019 Fall
HLTH 231,HANIK B,3.733,80%,15%,599,2019 Fall
HLTH 236,SANDLIN M,3.688,76%,18%,500,2019 Fall
HLTH 236,SANDLIN M,3.734,80%,14%,501,2019 Fall
HLTH 236,WILLIAMS D,3.719,77%,19%,599,2019 Fall
HLTH 240,HANIK B,3.752,85%,9%,599,2019 Fall
HLTH 285,RAHN R,3.357,71%,7%,501,2019 Fall
HLTH 285,GOMEZ D,4.000,100%,0%,502,2019 Fall
HLTH 285,LOCKLEAR A,3.950,95%,5%,547,2019 Fall
HLTH 331,EVANS J,3.977,98%,2%,500,2019 Fall
HLTH 331,MILSTEIN S,3.581,63%,33%,501,2019 Fall
HLTH 331,EVANS J,3.848,88%,9%,502,2019 Fall
HLTH 333,WIGFALL L,4.000,100%,0%,500,2019 Fall
HLTH 334,FEHR S,3.628,63%,37%,501,2019 Fall
HLTH 334,JI Q,3.889,90%,10%,599,2019 Fall
HLTH 335,TISONE C,3.415,49%,45%,500,2019 Fall
HLTH 335,TISONE C,3.568,66%,25%,501,2019 Fall
HLTH 335,IDOKO E,3.900,90%,10%,598,2019 Fall
HLTH 335,IDOKO E,3.833,83%,17%,599,2019 Fall
HLTH 342,MILSTEIN S,3.873,90%,7%,500,2019 Fall
HLTH 342,RAHN R,3.915,92%,8%,501,2019 Fall
HLTH 342,WILSON K,3.470,56%,38%,599,2019 Fall
HLTH 353,SANDLIN M,3.145,31%,56%,500,2019 Fall
HLTH 353,RUSSELL A,4.000,100%,0%,599,2019 Fall
HLTH 354,HANIK B,3.617,71%,23%,599,2019 Fall
HLTH 403,SANDLIN M,3.640,68%,28%,500,2019 Fall
HLTH 403,HANIK B,3.875,88%,12%,501,2019 Fall
HLTH 403,BAETGE C,3.277,42%,47%,599,2019 Fall
HLTH 407,TISONE C,3.950,95%,5%,500,2019 Fall
HLTH 407,TISONE C,3.977,98%,2%,501,2019 Fall
HLTH 410,NICKSIC H,3.459,54%,38%,501,2019 Fall
HLTH 410,NICKSIC H,3.384,46%,46%,598,2019 Fall
HLTH 410,APOSTOLOPOULOS Y,3.846,88%,8%,599,2019 Fall
HLTH 415,MCNEILL E,3.666,67%,33%,501,2019 Fall
HLTH 415,MCNEILL E,3.666,67%,33%,502,2019 Fall
HLTH 415,MCNEILL E,3.611,61%,39%,503,2019 Fall
HLTH 421,MCNEILL E,3.444,44%,56%,501,2019 Fall
HLTH 421,MCNEILL E,3.133,33%,47%,502,2019 Fall
HLTH 425,SHIPLEY M,3.650,70%,25%,500,2019 Fall
HLTH 425,SHIPLEY M,3.437,50%,44%,501,2019 Fall
HLTH 429,NICKSIC H,3.368,50%,39%,501,2019 Fall
HLTH 429,NICKSIC H,3.190,24%,71%,502,2019 Fall
HLTH 429,MIN J,3.500,65%,26%,599,2019 Fall
HLTH 440,RAHN R,4.000,100%,0%,930,2019 Fall
HLTH 440,SHERMAN L,4.000,100%,0%,931,2019 Fall
HLTH 445,EVANS J,3.767,81%,14%,500,2019 Fall
HLTH 481,BAETGE C,3.736,79%,16%,907,2019 Fall
HLTH 482,BAETGE C,3.285,43%,43%,904,2019 Fall
HLTH 484,GUNNELS E,4.000,100%,0%,500,2019 Fall
HLTH 485,TISONE C,3.812,83%,17%,500,2019 Fall
HLTH 485,CHEN L,4.000,100%,0%,577,2019 Fall
HLTH 491,CHEN L,4.000,100%,0%,501,2019 Fall
HLTH 605,PATTERSON M,4.000,100%,0%,600,2019 Fall
HLTH 607,TISONE C,4.000,100%,0%,600,2019 Fall
HLTH 611,GILREATH T,3.909,91%,9%,699,2019 Fall
HLTH 630,SHERMAN L,4.000,100%,0%,600,2019 Fall
HLTH 634,MILSTEIN S,3.058,47%,29%,699,2019 Fall
HLTH 635,EVANS J,2.916,42%,42%,699,2019 Fall
KINE 120,SLAGEL K,3.888,89%,11%,017,2019 Fall
KINE 120,SLAGEL K,3.809,90%,0%,027,2019 Fall
KINE 120,WOODARD D,3.545,68%,27%,033,2019 Fall
KINE 120,WOODARD D,3.391,57%,26%,034,2019 Fall
KINE 120,NELSON C,3.312,62%,19%,801,2019 Fall
KINE 120,NELSON C,3.428,57%,29%,802,2019 Fall
KINE 120,SIMMONS K,3.500,75%,8%,803,2019 Fall
KINE 120,SIMMONS K,2.857,50%,21%,804,2019 Fall
KINE 120,COADY W,3.125,46%,25%,807,2019 Fall
KINE 120,COADY W,3.111,33%,48%,808,2019 Fall
KINE 120,SLAGEL K,3.484,70%,12%,812,2019 Fall
KINE 120,SLAGEL K,3.500,61%,29%,813,2019 Fall
KINE 120,THORNTON M,3.520,64%,24%,818,2019 Fall
KINE 120,THORNTON M,3.625,69%,28%,819,2019 Fall
KINE 120,WENZEL T,3.450,65%,25%,820,2019 Fall
KINE 120,GOMEZ D,3.727,73%,27%,821,2019 Fall
KINE 120,NETHERLAND B,3.720,80%,12%,824,2019 Fall
KINE 120,NETHERLAND B,3.833,83%,17%,825,2019 Fall
KINE 120,NETHERLAND B,3.750,81%,12%,826,2019 Fall
KINE 120,NETHERLAND B,3.920,92%,8%,827,2019 Fall
KINE 120,POOLEY-DETWILER A,3.642,71%,21%,833,2019 Fall
KINE 120,ARMSTRONG C,4.000,100%,0%,838,2019 Fall
KINE 120,THORNTON M,3.666,89%,0%,843,2019 Fall
KINE 120,THORNTON M,3.785,79%,21%,844,2019 Fall
KINE 120,WRIGHT M,3.533,67%,20%,845,2019 Fall
KINE 120,WRIGHT M,3.000,39%,39%,846,2019 Fall
KINE 120,BERTHOT P,2.840,40%,24%,847,2019 Fall
KINE 120,BERTHOT P,3.750,75%,25%,848,2019 Fall
KINE 120,HANIK M,3.875,88%,12%,849,2019 Fall
KINE 120,SZURA J,3.322,58%,29%,850,2019 Fall
KINE 120,NOTTINGHAM K,3.392,57%,29%,852,2019 Fall
KINE 120,NOTTINGHAM K,3.066,50%,17%,853,2019 Fall
KINE 120,NOTTINGHAM K,3.560,72%,16%,854,2019 Fall
KINE 120,WENZEL T,3.687,72%,25%,855,2019 Fall
KINE 120,BREIDENBACH B,3.500,67%,22%,869,2019 Fall
KINE 120,BREIDENBACH B,3.318,64%,14%,870,2019 Fall
KINE 120,BREIDENBACH B,3.526,68%,26%,871,2019 Fall
KINE 120,LOCKLEAR A,3.531,72%,16%,875,2019 Fall
KINE 120,LOCKLEAR A,3.687,72%,25%,877,2019 Fall
KINE 120,BYRNE K,3.517,59%,34%,878,2019 Fall
