KINE 223,POOLEY-DETWILER A,3.928,93%,7%,10,2017 Spring
KINE 223,POOLEY-DETWILER A,3.928,93%,7%,10,2018 Spring
KINE 223,BYRNE K,3.611,67%,28%,10,2020 Spring
KINE 120,ISENHART M,3.478,61%,26%,11,2017 Spring
KINE 223,ALVAREZ A,3.476,67%,19%,11,2017 Fall
KINE 223,ALVAREZ A,3.318,41%,50%,11,2018 Fall
KINE 223,ALVAREZ A,3.133,47%,27%,11,2019 Fall
KINE 223,ALVAREZ A,3,44%,25%,11,2020 Fall
KINE 223,WRIGHT M,3.464,71%,11%,11,2020 Spring
ENGR 111,HUFF J,2.812,19%,55%,12,2017 Fall
KINE 199,GRANT M,3.625,75%,12%,12,2017 Spring
KINE 199,GRANT M,3.75,75%,25%,12,2018 Spring
KINE 223,COHEN L,3.434,70%,17%,12,2017 Spring
KINE 223,COHEN L,3.592,63%,33%,12,2018 Spring
KINE 223,WRIGHT M,3.192,46%,35%,12,2020 Spring
ENGR 111,RICHARD J,2.961,34%,44%,13,2017 Fall
KINE 223,WENZEL T,3.62,66%,31%,13,2017 Spring
KINE 223,DANNENBAUM J,3.375,58%,21%,13,2020 Spring
ENGR 111,HORBACZEWSKI I,2.625,17%,38%,14,2017 Fall
KINE 120,BIN MOHD,3.928,93%,7%,14,2018 Fall
KINE 120,MCNEILL E,4,100%,0%,14,2017 Spring
KINE 120,MCNEILL E,4,100%,0%,14,2018 Spring
KINE 120,MCNEILL E,4,100%,0%,14,2019 Spring
KINE 199,DANNENBAUM J,3.72,88%,4%,14,2017 Fall
KINE 199,DANNENBAUM J,3.434,68%,23%,14,2018 Fall
KINE 199,DANNENBAUM J,3.181,55%,23%,14,2019 Fall
KINE 199,WENZEL T,3.894,89%,11%,14,2020 Fall
KINE 199,WENZEL T,3.692,77%,15%,14,2017 Spring
KINE 199,DANNENBAUM J,3.192,42%,35%,14,2018 Spring
KINE 199,GOMEZ D,3.956,96%,4%,14,2020 Spring
KINE 223,WAITE L,3.703,81%,15%,14,2017 Spring
KINE 223,WAITE L,3.857,86%,14%,14,2018 Spring
KINE 223,WAITE L,3.333,48%,38%,14,2020 Spring
ENGR 111,OPELLA S,2.621,11%,50%,15,2017 Fall
KINE 120,THORNTON M,3.733,73%,27%,15,2018 Spring
KINE 199,WENZEL T,3.76,76%,24%,15,2017 Fall
KINE 199,WENZEL T,3.826,87%,9%,15,2018 Fall
KINE 199,GOMEZ D,3.625,79%,12%,15,2019 Fall
KINE 199,GOMEZ D,3.476,62%,24%,15,2020 Fall
KINE 199,DANNENBAUM J,3.76,88%,8%,15,2017 Spring
KINE 199,WENZEL T,3.73,85%,12%,15,2018 Spring
KINE 199,WENZEL T,3.913,91%,9%,15,2020 Spring
KINE 223,WOLFE J,2.736,21%,37%,15,2017 Fall
KINE 223,WAITE L,3.916,92%,8%,15,2017 Spring
KINE 223,WILLINGHAM K,3.875,96%,0%,15,2018 Spring
KINE 120,SAFDARI S,3.416,62%,21%,16,2017 Fall
KINE 120,THOMAS F,3.571,76%,14%,16,2018 Fall
KINE 120,THORNTON M,3.529,76%,12%,16,2018 Spring
KINE 199,COHEN L,3.875,88%,12%,16,2017 Fall
KINE 199,COHEN L,3.769,81%,15%,16,2018 Fall
KINE 199,WENZEL T,3.904,90%,10%,16,2019 Fall
KINE 199,WENZEL T,3.842,84%,16%,16,2020 Fall
KINE 199,COHEN L,3.807,81%,19%,16,2017 Spring
KINE 199,COHEN L,3.814,85%,11%,16,2018 Spring
KINE 199,WENZEL T,3.666,85%,15%,16,2020 Spring
KINE 223,COHEN L,3.866,87%,13%,16,2017 Fall
KINE 223,WRIGHT M,3.033,53%,20%,16,2018 Fall
KINE 223,WRIGHT M,3.548,58%,39%,16,2019 Fall
ENGR 111,KOOLA P,2.862,22%,55%,17,2017 Fall
KINE 120,DANNENBAUM J,2.727,23%,55%,17,2017 Fall
KINE 120,BIRD M,3.937,94%,6%,17,2018 Fall
KINE 120,SLAGEL K,3.888,89%,11%,17,2019 Fall
KINE 199,BREKKEN K,3.888,93%,4%,17,2017 Fall
