course,prof,gpa,% of A,% of B,section_,semester
EDCI 638,RACKLEY R,3.933,93%,7%,701,2017 Summer
EDCI 643,OGLETREE Q,4.000,100%,0%,700,2017 Summer
EDCI 644,YALVAC B,4.000,100%,0%,700,2017 Summer
EDCI 644,YALVAC B,4.000,100%,0%,701,2017 Summer
EDCI 644,CLARK R,4.000,100%,0%,702,2017 Summer
EDCI 645,DEUERMEYER E,3.764,76%,24%,701,2017 Summer
EDCI 647,SLATTERY G,4.000,100%,0%,700,2017 Summer
EDCI 648,HILL-JACKSON V,3.769,77%,23%,700,2017 Summer
EDCI 652,VIRURU R,3.368,58%,32%,700,2017 Summer
EDCI 659,CALDWELL H,4.000,100%,0%,700,2017 Summer
EDCI 673,GOLDSBY D,3.892,89%,11%,700,2017 Summer
EDCI 673,HAMMER J,4.000,100%,0%,701,2017 Summer
EDCI 673,JAMES M,4.000,100%,0%,702,2017 Summer
EDCI 677,DEUERMEYER E,3.928,93%,7%,700,2017 Summer
EDCI 680,MATTHEWS S,3.800,80%,20%,700,2017 Summer
EDCI 680,MATTHEWS S,3.800,80%,20%,705,2017 Summer
EDCI 689,CAPRARO R,3.222,56%,11%,700,2017 Summer
EDCI 689,LAUB J,4.000,100%,0%,701,2017 Summer
EDCI 710,NESHYBA M,3.909,91%,9%,701,2017 Summer
INST 362,CASSELL E,4.000,100%,0%,700,2017 Summer
INST 362,BURGHARDT B,3.147,59%,18%,701,2017 Summer
INST 363,NESHYBA M,3.979,98%,2%,700,2017 Summer
INST 363,BURGHARDT B,3.775,85%,12%,701,2017 Summer
RDNG 371,FRANKS A,3.280,56%,20%,700,2017 Summer
RDNG 372,FRANKS A,3.666,83%,7%,700,2017 Summer
RDNG 461,LINDNER A,3.800,88%,8%,700,2017 Summer
RDNG 461,MOODY S,3.791,79%,21%,701,2017 Summer
RDNG 468,CANTRELL E,3.759,76%,24%,700,2017 Summer
RDNG 612,MATTHEWS S,3.944,94%,6%,700,2017 Summer
RDNG 620,JOSHI R,3.733,93%,0%,700,2017 Summer
RDNG 642,TAYLOR B,3.600,60%,40%,100,2017 Summer
RDNG 649,MATTHEWS S,3.761,76%,24%,100,2017 Summer
RDNG 674,RUPLEY W,4.000,100%,0%,700,2017 Summer
TEED 602,KELLY L,4.000,100%,0%,300,2017 Summer
TEED 649,WEBER N,4.000,100%,0%,100,2017 Summer
TEED 649,KELLY L,4.000,100%,0%,102,2017 Summer
